施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
中原保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
中原保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	0	0	""	10	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	1	1	""	5	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	2	2	""	0	41	D6	""	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	3	3	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	4	4	""	0	39	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
西大井保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	0	0	""	6	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	1	1	""	2	43	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	2	2	""	2	42	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	0	0	""	12	40	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	1	1	""	8	43	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	2	2	""	3	43	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	3	3	""	3	42	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
西五反田第二保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	0	0	""	11	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	1	1	""	9	42	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	2	2	""	1	42	D4	""	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	3	3	""	1	36	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	4	4	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
西品川保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
西中延保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
西中延保育園	2017	1	1	""	14	41	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
西中延保育園	2017	2	2	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
西中延保育園	2017	3	3	""	2	41	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
西中延保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
